request_id,request_date,barangay_name,service_category,channel,priority,status,resolution_hours_synth,citizen_satisfaction_1_5_synth,repeat_request_synth,remarks_synth
SR-0001,2026-09-01,Anilao-Labac,Peace and Order,Mobile App,Normal,Closed,25.1,4,No,Citizen follow-up received
SR-0002,2026-04-14,San Sebastian,Peace and Order,Mobile App,Normal,Closed,11.4,4,No,Forwarded to concerned office
SR-0003,2026-04-22,San Jose,Disaster Concern,Hotline,Normal,Closed,65.9,3,No,
SR-0004,2026-09-16,Duhatan,Health,Web Form,Normal,Closed,22.4,4,No,Citizen follow-up received
SR-0005,2026-07-31,Plaridel,Road/Drainage,Web Form,Normal,In Progress,31.8,,No,Forwarded to concerned office
SR-0006,2026-02-13,Balintawak,Water,Web Form,Normal,Closed,16.5,4,No,Citizen follow-up received
SR-0007,2026-03-01,San Jose,Streetlight,Web Form,Normal,Closed,21.7,3,Yes,Citizen follow-up received
SR-0008,2026-02-12,Pangao,Disaster Concern,Walk-in,Normal,Pending Validation,28.7,,No,
SR-0009,2026-04-08,San Sebastian,Disaster Concern,Web Form,Normal,Closed,31.4,4,No,Citizen follow-up received
SR-0010,2026-07-14,Tangob,Peace and Order,Web Form,High,Closed,17.3,5,Yes,Forwarded to concerned office
SR-0011,2026-09-18,Balintawak,Peace and Order,Walk-in,High,Closed,4.4,4,No,Citizen follow-up received
SR-0012,2026-02-11,Tibig,Road/Drainage,Web Form,Normal,Closed,51.1,5,Yes,Citizen follow-up received
SR-0013,2026-07-26,San Sebastian,Streetlight,Web Form,Normal,Closed,22.9,3,No,Requires site validation
SR-0014,2026-03-14,Inosloban,Road/Drainage,Walk-in,High,Closed,12.0,4,No,Requires site validation
SR-0015,2026-06-01,Pinagkawitan,Disaster Concern,Barangay Referral,High,Pending Validation,8.8,,No,Forwarded to concerned office
SR-0016,2026-08-22,San Carlos,Disaster Concern,Hotline,Low,Closed,11.4,5,No,
SR-0017,2026-06-10,San Sebastian,Road/Drainage,Walk-in,Urgent,In Progress,4.2,,No,Citizen follow-up received
SR-0018,2026-08-07,Sabang,Disaster Concern,Walk-in,Normal,Closed,7.2,3,No,
SR-0019,2026-02-12,Balintawak,Road/Drainage,Hotline,Urgent,Closed,16.2,4,No,Requires site validation
SR-0020,2026-03-08,Pagolingin West,Permits/Inquiry,Barangay Referral,High,Closed,6.1,3,Yes,
SR-0021,2026-02-10,Sapac,Disaster Concern,Mobile App,High,Closed,9.1,4,Yes,Citizen follow-up received
SR-0022,2026-06-21,Banaybanay,Solid Waste,Hotline,High,Closed,17.3,4,No,
SR-0023,2026-08-06,Bagong Pook,Peace and Order,Hotline,Low,Closed,40.4,5,Yes,
SR-0024,2026-04-07,Lumbang,Streetlight,Barangay Referral,Low,Closed,12.5,3,No,Citizen follow-up received
SR-0025,2026-03-27,Sabang,Streetlight,Walk-in,Normal,Closed,5.1,5,Yes,
SR-0026,2026-02-10,Inosloban,Permits/Inquiry,Barangay Referral,Normal,Pending Validation,55.8,,No,
SR-0027,2026-06-02,Adya,Water,Mobile App,High,Closed,5.3,4,Yes,Forwarded to concerned office
SR-0028,2026-04-30,Banaybanay,Streetlight,Hotline,High,Closed,7.6,3,No,Forwarded to concerned office
SR-0029,2026-09-08,Mataas Na Lupa,Streetlight,Web Form,Urgent,In Progress,9.1,,No,Requires site validation
SR-0030,2026-07-01,Tambo,Water,Hotline,Low,Closed,26.2,4,Yes,Citizen follow-up received
SR-0031,2026-07-11,San Jose,Streetlight,Barangay Referral,Normal,Closed,34.2,4,No,Forwarded to concerned office
SR-0032,2026-04-21,Sampaguita,Streetlight,Hotline,High,Closed,12.3,4,Yes,Citizen follow-up received
SR-0033,2026-07-08,Balintawak,Streetlight,Mobile App,Urgent,Closed,7.3,5,No,
SR-0034,2026-06-10,San Carlos,Peace and Order,Mobile App,High,Closed,16.1,4,Yes,Requires site validation
SR-0035,2026-01-02,Bulaklakan,Solid Waste,Walk-in,Normal,Closed,30.0,4,No,Citizen follow-up received
SR-0036,2026-09-18,Tambo,Water,Walk-in,Normal,Closed,7.3,4,Yes,Citizen follow-up received
SR-0037,2026-03-04,Quezon,Water,Web Form,High,Closed,5.9,4,No,Requires site validation
SR-0038,2026-02-12,Lodlod,Peace and Order,Barangay Referral,High,Closed,14.8,5,No,Requires site validation
SR-0039,2026-06-02,Marauoy,Disaster Concern,Walk-in,High,Closed,16.1,4,No,Forwarded to concerned office
SR-0040,2026-02-11,Latag,Streetlight,Web Form,High,Closed,4.1,5,No,Requires site validation
SR-0041,2026-05-30,Banaybanay,Solid Waste,Hotline,Normal,Closed,52.3,4,No,Requires site validation
SR-0042,2026-02-09,Pinagkawitan,Peace and Order,Web Form,High,Closed,3.3,4,No,Citizen follow-up received
SR-0043,2026-05-13,Banaybanay,Health,Web Form,Normal,Closed,44.8,5,No,Requires site validation
SR-0044,2026-05-24,Sico,Solid Waste,Web Form,Normal,In Progress,39.8,,No,Requires site validation
SR-0045,2026-09-09,Talisay,Health,Mobile App,Normal,Closed,46.6,5,No,Requires site validation
SR-0046,2026-08-30,Tibig,Water,Mobile App,Normal,Closed,32.3,4,No,Forwarded to concerned office
SR-0047,2026-01-04,Sapac,Health,Hotline,Low,Closed,7.8,4,No,Forwarded to concerned office
SR-0048,2026-05-23,Tibig,Solid Waste,Mobile App,Normal,Closed,48.5,4,No,Forwarded to concerned office
SR-0049,2026-09-20,Duhatan,Streetlight,Web Form,High,Closed,6.2,4,Yes,Requires site validation
SR-0050,2026-08-29,Sabang,Peace and Order,Web Form,Low,Closed,9.3,5,No,Citizen follow-up received
SR-0051,2026-07-16,Marauoy,Water,Barangay Referral,High,Closed,3.8,4,No,Forwarded to concerned office
SR-0052,2026-07-18,Tibig,Streetlight,Mobile App,High,Closed,11.9,3,Yes,Requires site validation
SR-0053,2026-02-17,Duhatan,Disaster Concern,Walk-in,Normal,Closed,10.1,3,No,
SR-0054,2026-03-15,Bulacnin,Solid Waste,Web Form,Normal,Closed,17.8,4,No,Citizen follow-up received
SR-0055,2026-04-04,Marauoy,Solid Waste,Barangay Referral,High,Closed,16.6,5,No,Citizen follow-up received
SR-0056,2026-04-13,Munting Pulo,Disaster Concern,Barangay Referral,Urgent,Closed,12.1,4,No,Forwarded to concerned office
SR-0057,2026-08-14,Tangob,Water,Mobile App,Normal,Closed,41.7,4,No,Citizen follow-up received
SR-0058,2026-03-19,Talisay,Disaster Concern,Mobile App,Normal,Closed,8.4,5,No,Citizen follow-up received
SR-0059,2026-06-12,Tibig,Water,Hotline,Low,Closed,46.1,3,No,Citizen follow-up received
SR-0060,2026-05-28,Inosloban,Disaster Concern,Barangay Referral,Normal,In Progress,42.4,,No,Requires site validation
SR-0061,2026-05-15,Bulaklakan,Road/Drainage,Walk-in,High,Closed,3.3,5,No,Forwarded to concerned office
SR-0062,2026-01-05,Latag,Water,Hotline,Normal,Pending Validation,37.2,,No,
SR-0063,2026-01-09,Mataas Na Lupa,Water,Barangay Referral,High,Closed,12.3,4,No,Requires site validation
SR-0064,2026-09-03,San Carlos,Peace and Order,Hotline,High,Closed,18.0,4,No,
SR-0065,2026-04-05,Tambo,Peace and Order,Mobile App,Normal,Closed,4.1,4,No,Requires site validation
SR-0066,2026-07-21,Anilao-Labac,Solid Waste,Hotline,High,Closed,11.8,5,No,Requires site validation
SR-0067,2026-05-01,Antipolo Del Sur,Streetlight,Hotline,Normal,Closed,10.2,5,Yes,Requires site validation
SR-0068,2026-09-10,Rizal,Road/Drainage,Walk-in,Normal,Closed,47.2,4,No,
SR-0069,2026-05-26,Poblacion Barangay 7,Water,Hotline,High,Closed,11.4,4,No,Requires site validation
SR-0070,2026-02-28,Bagong Pook,Water,Walk-in,High,Closed,17.0,4,No,Citizen follow-up received
SR-0071,2026-03-02,Santo Niño,Road/Drainage,Mobile App,Urgent,Closed,17.6,3,No,Forwarded to concerned office
SR-0072,2026-07-21,Lodlod,Road/Drainage,Barangay Referral,Low,Closed,12.2,3,No,Forwarded to concerned office
SR-0073,2026-01-06,Antipolo Del Norte,Disaster Concern,Mobile App,Normal,Closed,22.9,4,No,
SR-0074,2026-07-06,Bagong Pook,Permits/Inquiry,Web Form,Low,In Progress,38.4,,Yes,
SR-0075,2026-01-25,Antipolo Del Norte,Water,Hotline,Low,In Progress,54.9,,No,Citizen follow-up received
SR-0076,2026-08-11,Duhatan,Disaster Concern,Hotline,Low,Closed,37.6,4,No,Forwarded to concerned office
SR-0077,2026-04-13,Marauoy,Peace and Order,Barangay Referral,Normal,Closed,33.4,5,No,Citizen follow-up received
SR-0078,2026-04-10,San Sebastian,Streetlight,Hotline,Normal,Closed,30.7,4,No,Citizen follow-up received
SR-0079,2026-01-12,Poblacion Barangay 2,Streetlight,Web Form,Urgent,In Progress,12.1,,Yes,
SR-0080,2026-06-18,Tanguay,Streetlight,Barangay Referral,Low,Pending Validation,14.8,,Yes,Requires site validation
SR-0081,2026-05-12,Sico,Water,Barangay Referral,Normal,Closed,8.9,5,No,
SR-0082,2026-09-06,Sabang,Permits/Inquiry,Hotline,Normal,Closed,25.3,4,No,Citizen follow-up received
SR-0083,2026-03-24,Sabang,Road/Drainage,Barangay Referral,Normal,Closed,8.7,4,Yes,Forwarded to concerned office
SR-0084,2026-04-06,Banaybanay,Solid Waste,Walk-in,High,Closed,17.0,4,Yes,
SR-0085,2026-01-24,Tibig,Disaster Concern,Hotline,Normal,Closed,14.3,4,Yes,Citizen follow-up received
SR-0086,2026-06-24,Antipolo Del Sur,Road/Drainage,Mobile App,Normal,Closed,35.1,5,No,
SR-0087,2026-02-28,Pangao,Solid Waste,Barangay Referral,Urgent,In Progress,16.3,,No,Citizen follow-up received
SR-0088,2026-05-04,Marauoy,Solid Waste,Web Form,Normal,Closed,15.8,4,No,Forwarded to concerned office
SR-0089,2026-02-18,Mataas Na Lupa,Water,Walk-in,Low,Closed,14.6,3,No,
SR-0090,2026-04-22,Rizal,Peace and Order,Mobile App,Normal,Closed,15.0,4,Yes,Forwarded to concerned office
SR-0091,2026-07-07,Adya,Water,Walk-in,Normal,Closed,16.1,3,No,Forwarded to concerned office
SR-0092,2026-01-14,Balintawak,Road/Drainage,Hotline,High,Closed,17.0,5,No,Citizen follow-up received
SR-0093,2026-04-07,Poblacion Barangay 1,Disaster Concern,Web Form,Normal,In Progress,10.7,,No,Forwarded to concerned office
SR-0094,2026-04-23,Balintawak,Streetlight,Web Form,Normal,Closed,18.4,4,No,Citizen follow-up received
SR-0095,2026-09-17,Sabang,Disaster Concern,Barangay Referral,Normal,Closed,37.1,3,Yes,Requires site validation
SR-0096,2026-05-28,San Jose,Water,Barangay Referral,Normal,Closed,6.4,5,No,Citizen follow-up received
SR-0097,2026-08-12,San Lucas,Disaster Concern,Mobile App,Urgent,Closed,13.9,5,No,Forwarded to concerned office
SR-0098,2026-09-18,Inosloban,Solid Waste,Hotline,Normal,In Progress,23.8,,No,
SR-0099,2026-09-14,Santo Toribio,Permits/Inquiry,Web Form,Normal,Closed,63.7,4,No,Requires site validation
SR-0100,2026-06-20,Sabang,Peace and Order,Walk-in,Urgent,Closed,16.0,4,Yes,Requires site validation
SR-0101,2026-08-01,Lodlod,Water,Barangay Referral,Urgent,In Progress,9.2,,No,Requires site validation
SR-0102,2026-03-26,Bolbok,Water,Mobile App,Low,Closed,18.4,4,Yes,
SR-0103,2026-06-12,Pinagkawitan,Peace and Order,Walk-in,Normal,Closed,17.8,3,No,Requires site validation
SR-0104,2026-02-25,San Francisco,Disaster Concern,Mobile App,Normal,Closed,12.9,5,No,Requires site validation
SR-0105,2026-04-13,San Salvador,Solid Waste,Hotline,Low,In Progress,10.1,,No,Requires site validation
SR-0106,2026-01-24,Sapac,Water,Mobile App,High,Closed,8.4,5,Yes,Requires site validation
SR-0107,2026-03-22,Quezon,Disaster Concern,Walk-in,High,Closed,13.0,3,No,Requires site validation
